[2025-05-03 20:41:11] [DEBUG   ] discord.client: Dispatching event message
[2025-05-03 20:41:11] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1367556586784034910/messages with {"content":"\u00bfQuieres que te ayude a buscar las estad\u00edsticas de un club? (si/no)","components":[],"nonce":"17102201683972633294","enforce_nonce":true,"tts":false} has returned 200
[2025-05-03 20:41:11] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1367556586784034910/messages has received {'type': 0, 'content': '¿Quieres que te ayude a buscar las estadísticas de un club? (si/no)', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-05-03T23:52:27.700000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1368374683422167040', 'channel_id': '1367556586784034910', 'author': {'id': '1367541226936598679', 'username': 'Konop_bot', 'avatar': None, 'discriminator': '2258', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '17102201683972633294'}
[2025-05-03 20:41:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-03T23:52:29.043000+00:00', 'pinned': False, 'nonce': '1368371852354781184', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-01T17:41:38.284000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1368374689055117465', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'si', 'components': [], 'channel_type': 0, 'channel_id': '1367556586784034910', 'author': {'username': 'lucask5504', 'public_flags': 0, 'primary_guild': None, 'id': '366063012655923210', 'global_name': 'LucasK', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c539f65f83dea14b0e4ea51e95e3918e'}, 'attachments': [], 'guild_id': '1367556586784034907'}}
[2025-05-03 20:41:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 20:41:13] [DEBUG   ] discord.client: Dispatching event message
[2025-05-03 20:41:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 11, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-03T23:52:29.226000+00:00', 'pinned': False, 'nonce': '7046076673996247354', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1367556998434127956'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-01T17:43:16.489000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1368374689822539851', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Por favor, introduce el nombre del equipo con el siguiente formato (ej: ca-boca-juniors):', 'components': [], 'channel_type': 0, 'channel_id': '1367556586784034910', 'author': {'username': 'Konop_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1367541226936598679', 'global_name': None, 'discriminator': '2258', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1367556586784034907'}}
[2025-05-03 20:41:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 20:41:13] [DEBUG   ] discord.client: Dispatching event message
[2025-05-03 20:41:13] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1367556586784034910/messages with {"content":"Por favor, introduce el nombre del equipo con el siguiente formato (ej: ca-boca-juniors):","components":[],"nonce":"7046076673996247354","enforce_nonce":true,"tts":false} has returned 200
[2025-05-03 20:41:13] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1367556586784034910/messages has received {'type': 0, 'content': 'Por favor, introduce el nombre del equipo con el siguiente formato (ej: ca-boca-juniors):', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-05-03T23:52:29.226000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1368374689822539851', 'channel_id': '1367556586784034910', 'author': {'id': '1367541226936598679', 'username': 'Konop_bot', 'avatar': None, 'discriminator': '2258', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '7046076673996247354'}
